Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,36.0,1.0,36.0,36.0,0.1,22.907000000000018,0.0,0.0,0.009061336517333984,,,,,,,,,,,,,,,,,,,,,7.155122830000934,7.877578972337101,22.694782448233994,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,112.0,2.0,76.0,112.0,0.1,34.20700000000003,0.0,0.0,7.07416558265686,,,,,,,,,,,,,,,,,,,,,12.848992376162801,8.740773145469094,33.297037357088456,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,191.0,3.0,79.0,191.0,0.1,26.118000000000077,0.0,0.0,14.37969708442688,,,,,,,,,,,,,,,,,,,,,5.212094900214257,7.167437675856631,25.757734213576022,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,253.0,4.0,62.0,253.0,0.1,38.307,0.0,0.0,20.5403413772583,,,,,,,,,,,,,,,,,,,,,14.850289903125624,11.538798679655153,37.4611668986366,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,338.0,5.0,85.0,338.0,0.1,32.80800000000004,0.0,0.0,28.335803270339966,,,,,,,,,,,,,,,,,,,,,10.407634429654694,7.932434967065142,31.98729367353275,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,428.0,6.0,90.0,428.0,0.1,45.51999999999998,0.0,0.0,36.56300973892212,,,,,,,,,,,,,,,,,,,,,13.29383734365816,14.314548891442838,44.41233489652892,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,487.0,7.0,59.0,487.0,0.1,50.107,0.0,0.0,42.14013361930847,,,,,,,,,,,,,,,,,,,,,18.86769137457731,16.733691575789116,49.09194099895686,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,576.0,8.0,89.0,576.0,0.1,59.61000000000005,0.0,0.0,50.21382784843445,,,,,,,,,,,,,,,,,,,,,17.834087266619957,19.398518921039408,58.138986066417566,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,651.0,9.0,75.0,651.0,0.1,35.10800000000002,0.0,0.0,57.33473348617554,,,,,,,,,,,,,,,,,,,,,12.766147566857782,9.810801027629608,34.21894259874055,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,734.0,10.0,83.0,734.0,0.1,63.207000000000015,0.0,0.0,64.87535405158997,,,,,,,,,,,,,,,,,,,,,23.54535157150371,19.287457398839194,61.375425294729354,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
